model,macro_f1,gulf_f1,egyptian_f1,levantine_f1,maghrebi_f1,iraqi_f1,bootstrap_ci_lower,bootstrap_ci_upper
AraBERT,0.8170,0.7930,0.8410,0.8240,0.8020,0.7890,0.8080,0.8250
GAT,0.8420,0.8210,0.8590,0.8470,0.8380,0.8450,0.8340,0.8500
